timestamp,ghi_wm2,dni_wm2,dhi_wm2,temperature_c,relative_humidity_pct,cloud_cover_pct,wind_speed_ms,wind_direction_deg,precipitation_mm,pressure_hpa,et0_mm
2026-08-20T00:00,0,0,0,28.3,88,99,1.8,146,0.2,1003.8,0
2026-08-20T01:00,0,0,0,27.5,90,99,2,127,0.2,1003.3,0
2026-08-20T02:00,0,0,0,26.6,93,98,2.48,137,0.4,1003,0
2026-08-20T03:00,0,0,0,26.4,94,97,1.93,127,0.2,1002.7,0
2026-08-20T04:00,0,0,0,26.3,95,100,1.72,120,0,1002.3,0
2026-08-20T05:00,0,0,0,26.3,95,92,1.31,130,0,1002.3,0
2026-08-20T06:00,5,0,5,27.5,93,84,1.51,124,0,1002.4,0.01
2026-08-20T07:00,105,193.9,67,28.3,90,62,1.43,119,0,1003,0.07
2026-08-20T08:00,298,425.1,119,29.6,83,52,1.84,131,0,1003.1,0.22
2026-08-20T09:00,512,595.1,141,30.7,78,95,1.85,128,0,1003.2,0.38
2026-08-20T10:00,601,499.2,207,31.4,74,98,1.56,130,0.1,1003,0.46
2026-08-20T11:00,664,444.2,261,31.9,70,100,1.49,138,0.2,1002.7,0.51
2026-08-20T12:00,745,395.2,362,32.4,64,100,1.87,146,0.1,1002.6,0.58
2026-08-20T13:00,789,474.7,328,32.7,62,97,2.15,152,0.2,1001,0.62
2026-08-20T14:00,769,575.2,244,33.1,61,98,2.03,164,0.2,1000,0.60
2026-08-20T15:00,641,526.4,221,33.1,61,63,1.91,160,0.1,999.5,0.51
2026-08-20T16:00,515,583,145,33,62,63,1.84,167,0,998.7,0.41
2026-08-20T17:00,290,433.2,102,32.4,64,82,2.51,167,0.1,998.9,0.26
2026-08-20T18:00,100,186,61,31.4,71,60,1.88,169,0.1,999.5,0.10
2026-08-20T19:00,7,14.3,6,30.1,79,95,1.49,166,0,999.9,0.02
2026-08-20T20:00,0,0,0,29.5,83,92,1.5,178,0,1000.9,0.01
2026-08-20T21:00,0,0,0,29,86,93,1.45,176,0,1001.7,0
2026-08-20T22:00,0,0,0,28.7,87,94,1.38,167,0,1002.8,0
2026-08-20T23:00,0,0,0,28.3,89,98,1.3,164,0,1003,0
