timestamp_local,timestamp_utc,ghi_wm2,dni_wm2,dhi_wm2,temperature_c,relative_humidity_pct,cloud_cover_pct,wind_speed_ms,wind_direction_deg,precipitation_mm,pressure_hpa,source_rows,ghi_valid_minutes,dni_valid_minutes,dhi_valid_minutes,temperature_valid_minutes,humidity_valid_minutes,wind_valid_minutes,precipitation_valid_minutes,pressure_valid_minutes,data_filled_minutes,quality_status,quality_notes
2017-06-08T06:00:00+06:00,2017-06-08T00:00:00Z,163.115641,70.013164,139.695314,28.237124,86.121703,,1.697830,62.017686,0.000000,1002.197627,60,59,59,59,59,59,59,59,59,59,partial,one or more variables has fewer than 60 valid source minutes
2017-06-08T07:00:00+06:00,2017-06-08T01:00:00Z,337.112950,180.883083,237.807800,29.639910,77.927108,,1.318106,86.317758,0.000000,1002.736333,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T08:00:00+06:00,2017-06-08T02:00:00Z,607.167750,488.531533,257.939450,31.190973,71.908793,,1.550040,99.003226,0.000000,1002.728833,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T09:00:00+06:00,2017-06-08T03:00:00Z,649.180950,263.250293,421.498983,32.901608,67.905498,,1.193106,110.140797,0.000000,1002.583833,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T10:00:00+06:00,2017-06-08T04:00:00Z,808.624800,504.504767,324.551567,34.346673,64.189218,,1.129672,84.071289,0.000000,1002.291333,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T11:00:00+06:00,2017-06-08T05:00:00Z,869.998383,492.841880,364.487900,34.659240,63.644718,,1.147759,147.230475,0.000000,1001.641833,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T12:00:00+06:00,2017-06-08T06:00:00Z,758.460017,319.152288,428.986933,36.060255,59.361310,,1.039638,344.069637,0.000000,1000.797333,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T13:00:00+06:00,2017-06-08T07:00:00Z,661.059467,239.473502,430.333217,35.833067,60.183718,,1.140060,213.463485,0.000000,999.774717,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T14:00:00+06:00,2017-06-08T08:00:00Z,382.986233,99.690330,300.388300,34.974412,63.297305,,2.159212,195.766070,0.000000,998.947333,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T15:00:00+06:00,2017-06-08T09:00:00Z,524.997150,331.407008,299.887767,33.992342,69.224398,,3.720226,204.471891,0.000000,998.084283,60,60,60,60,60,60,60,60,60,60,complete,
2017-06-08T16:00:00+06:00,2017-06-08T10:00:00Z,281.961817,226.040925,172.446045,33.181297,72.815458,,3.877019,205.006273,0.000000,997.963517,60,60,60,60,60,60,60,60,60,60,complete,
